Bolagsnamn;Land;Lista;Sektor;Bransch;Ticker
Cortus Energy;Sverige;First North;Kraftförsörjning;Bioenergi;CE
Hembla;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;HEM B
Dome Energy;Sverige;First North;Energi;Olja & Gas - Exploatering;DOME
Doxa;Sverige;First North;Hälsovård;Biotech;DOXA
Hanza;Sverige;First North;Industri;Affärskonsulter;HANZA
Heliospectra;Sverige;First North;Informationsteknik;Elektronisk Utrustning;HELIO
Hexatronic;Sverige;Mid Cap;Industri;Elektroniska komponenter;HTRO
Kallebäck Property;Sverige;First North;Finans & Fastighet;Fastighetsbolag;KAPIAB
Kambi;Sverige;First North;Sällanköpsvaror;Betting & Casino;KAMBI
Kentima;Sverige;First North;Informationsteknik;Säkerhet & Bevakning;KENH
Mavshack;Sverige;First North;Sällanköpsvaror;Media & Publicering;MAV
Irisity;Sverige;First North;Informationsteknik;Säkerhet & Bevakning;IRIS
myFC Holding;Sverige;First North;Kraftförsörjning;Förnybarenergi;MYFC
New Equity Venture;Sverige;Spotlight;Finans & Fastighet;Investmentbolag;NEVI B
Nicoccino;Sverige;First North;Dagligvaror;Tobak;NICO
Clemondo;Sverige;First North;Material;Kemikalier;CLEM
ScandiDos;Sverige;First North;Hälsovård;Medicinsk Utrustning;SDOS
Scandinavian Enviro;Sverige;First North;Industri;Energi & Återvinning;SES
Advenica;Sverige;First North;Informationsteknik;Säkerhet & Bevakning;ADVE
myTaste;Sverige;First North;Informationsteknik;Internettjänster;TASTE
LIDDS;Sverige;First North;Hälsovård;Biotech;LIDDS
DDM Holding;Sverige;First North;Finans & Fastighet;Kredit & Finansiering;DDM
Inwido;Sverige;Mid Cap;Industri;Byggmaterial;INWI
Cinnober;Sverige;First North;Informationsteknik;Affärs- & IT-System;CINN
Gränges;Sverige;Mid Cap;Industri;Industrikomponenter;GRNG
GWS Production;Sverige;First North;Informationsteknik;Säkerhet & Bevakning;GWS
Thule;Sverige;Large Cap;Sällanköpsvaror;Bil & Motor;THULE
Sprint Bioscience;Sverige;First North;Hälsovård;Biotech;SPRINT
Nexstim;Sverige;First North;Hälsovård;Medicinsk Utrustning;NXTMS
Bayn Europe;Sverige;First North;Dagligvaror;Livsmedel;BAYN
Papilly;Sverige;First North;Hälsovård;Hälsovård & Hjälpmedel;PAPI
Arcoma;Sverige;First North;Hälsovård;Medicinsk Utrustning;ARCOMA
PowerCell;Sverige;First North;Kraftförsörjning;Förnybarenergi;PCELL
Christian Berner Tech;Sverige;Small Cap;Industri;Industrikomponenter;CBTT B
Absolent;Sverige;First North;Industri;Energi & Återvinning;ABSO
Samhällsbyggnadsbolag B;Sverige;First North;Finans & Fastighet;Fastighetsbolag;SBB B
Italeaf;Sverige;First North;Finans & Fastighet;Investmentbolag;ITAL SDB
Lifco;Sverige;Large Cap;Finans & Fastighet;Investmentbolag;LIFCO B
NP3;Sverige;Mid Cap;Finans & Fastighet;Fastighetsbolag;NP3
