Dates;Destination;Group;Period;Price;Regio;Status;min_price
['01.12.2019', '08.12.2019'];Osaka;fernreisen;2019-12;411 €;Asia;2019-10-20;403 €
['01.12.2019', '08.12.2019'];Osaka;fernreisen;2019-12;403 €;Asia;2019-10-26;403 €
['01.12.2019', '08.12.2019'];Osaka;fernreisen;2019-12;403 €;Asia;2019-10-26;403 €
['23.10.2019', '04.11.2019'];Perth;last-minute;2019-10;742,00 €;Asia;09.10.2019;742,00 €
['23.10.2019', '04.11.2019'];Perth;last-minute;2019-10;742,00 €;Asia;09.10.2019;742,00 €
['10.05.2020', '31.05.2020'];Phnom Penh;fernreisen;2020-05;395,00 €;Asia;09.10.2019;395 €
['03.12.2019', '23.12.2019'];Phnom Penh;fernreisen;2019-12;395,00 €;Asia;18.10.2019;395 €
['14.02.2020', '05.03.2020'];Phnom Penh;fernreisen;2020-02;395,00 €;Asia;19.10.2019;395 €
['10.05.2020', '31.05.2020'];Phnom Penh;fernreisen;2020-05;395,00 €;Asia;09.10.2019;395 €
['03.12.2019', '23.12.2019'];Phnom Penh;fernreisen;2019-12;395,00 €;Asia;18.10.2019;395 €
['14.02.2020', '05.03.2020'];Phnom Penh;fernreisen;2020-02;395,00 €;Asia;19.10.2019;395 €
['04.03.2020', '18.03.2020'];Phnom Penh;fernreisen;2020-03;395 €;Asia;2019-10-20;395 €
['23.02.2020', '15.03.2020'];Phnom Penh;fernreisen;2020-02;395 €;Asia;2019-10-22;395 €
['04.03.2020', '18.03.2020'];Phnom Penh;fernreisen;2020-03;395 €;Asia;2019-10-26;395 €
['23.02.2020', '15.03.2020'];Phnom Penh;fernreisen;2020-02;395 €;Asia;2019-10-26;395 €
['13.08.2020', '25.08.2020'];Phuket;sommerferien;2020-08;464,00 €;Asia;06.10.2019;411 €
['13.08.2020', '25.08.2020'];Phuket;sommerferien;2020-08;464,00 €;Asia;06.10.2019;411 €
['09.02.2020', '16.02.2020'];Phuket;fernreisen;2020-02;411 €;Asia;2019-10-20;411 €
['06.02.2020', '25.02.2020'];Phuket;fernreisen;2020-02;411 €;Asia;2019-10-26;411 €
['10.02.2020', '17.02.2020'];Saigon;fernreisen;2020-02;407 €;Asia;2019-10-22;407 €
['27.01.2020', '08.02.2020'];Saigon;fernreisen;2020-01;409 €;Asia;2019-10-20;407 €
['04.02.2020', '25.02.2020'];Saigon;fernreisen;2020-02;407 €;Asia;2019-10-26;407 €
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;389,00 €;Asia;04.10.2019;388,00 €
['10.12.2019', '18.12.2019'];Seoul;fernreisen;2019-12;388,00 €;Asia;05.10.2019;388,00 €
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;388,00 €;Asia;06.10.2019;388,00 €
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;388,00 €;Asia;07.10.2019;388,00 €
['10.12.2019', '18.12.2019'];Seoul;fernreisen;2019-12;390,00 €;Asia;09.10.2019;388,00 €
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;390,00 €;Asia;18.10.2019;388,00 €
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;390,00 €;Asia;19.10.2019;388,00 €
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;389,00 €;Asia;04.10.2019;388,00 €
['10.12.2019', '18.12.2019'];Seoul;fernreisen;2019-12;388,00 €;Asia;05.10.2019;388,00 €
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;388,00 €;Asia;06.10.2019;388,00 €
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;388,00 €;Asia;07.10.2019;388,00 €
['10.12.2019', '18.12.2019'];Seoul;fernreisen;2019-12;390,00 €;Asia;09.10.2019;388,00 €
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;390,00 €;Asia;18.10.2019;388,00 €
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;390,00 €;Asia;19.10.2019;388,00 €
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;389 €;Asia;2019-10-20;388,00 €
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;390 €;Asia;2019-10-22;388,00 €
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;390 €;Asia;2019-10-26;388,00 €
['22.04.2020', '06.05.2020'];Seoul;fernreisen;2020-04;390 €;Asia;2019-10-26;388,00 €
['02.12.2019', '09.12.2019'];Seoul Incheon;fernreisen;2019-12;365,00 €;Asia;04.10.2019;364 €
['02.12.2019', '13.12.2019'];Seoul Incheon;fernreisen;2019-12;365,00 €;Asia;05.10.2019;364 €
['02.12.2019', '13.12.2019'];Seoul Incheon;fernreisen;2019-12;365,00 €;Asia;06.10.2019;364 €
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365,00 €;Asia;07.10.2019;364 €
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365,00 €;Asia;09.10.2019;364 €
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365,00 €;Asia;18.10.2019;364 €
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365,00 €;Asia;19.10.2019;364 €
['02.12.2019', '09.12.2019'];Seoul Incheon;fernreisen;2019-12;365,00 €;Asia;04.10.2019;364 €
['02.12.2019', '13.12.2019'];Seoul Incheon;fernreisen;2019-12;365,00 €;Asia;05.10.2019;364 €
['02.12.2019', '13.12.2019'];Seoul Incheon;fernreisen;2019-12;365,00 €;Asia;06.10.2019;364 €
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365,00 €;Asia;07.10.2019;364 €
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365,00 €;Asia;09.10.2019;364 €
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365,00 €;Asia;18.10.2019;364 €
['04.03.2020', '17.03.2020'];Seoul Incheon;fernreisen;2020-03;365,00 €;Asia;19.10.2019;364 €
['02.12.2019', '09.12.2019'];Seoul Incheon;fernreisen;2019-12;366 €;Asia;2019-10-20;364 €
['02.12.2019', '09.12.2019'];Seoul Incheon;fernreisen;2019-12;365 €;Asia;2019-10-22;364 €
['01.12.2019', '11.12.2019'];Seoul Incheon;fernreisen;2019-12;364 €;Asia;2019-10-26;364 €
['01.12.2019', '11.12.2019'];Seoul Incheon;fernreisen;2019-12;364 €;Asia;2019-10-26;364 €
['10.12.2019', '18.12.2019'];Shanghai Pudong;fernreisen;2019-12;387,00 €;Asia;04.10.2019;362,00 €
['10.12.2019', '18.12.2019'];Shanghai Pudong;fernreisen;2019-12;387,00 €;Asia;05.10.2019;362,00 €
['12.03.2020', '24.03.2020'];Shanghai Pudong;fernreisen;2020-03;362,00 €;Asia;06.10.2019;362,00 €
