Destination;Dates;Price;Group;Period;Status;Regio;min_price
Eriwan;['13.07.2020', '23.07.2020'];249,00 €;warme-reiseziele;2020-07;07.10.2019;Europe;249,00 €
Eriwan;['13.07.2020', '23.07.2020'];249,00 €;warme-reiseziele;2020-07;09.10.2019;Europe;249,00 €
Faro;['12.08.2020', '26.08.2020'];118,00 €;warme-reiseziele;2020-08;04.10.2019;Europe;118,00 €
Faro;['12.08.2020', '26.08.2020'];118,00 €;sommerferien;2020-08;04.10.2019;Europe;118,00 €
Faro;['12.08.2020', '26.08.2020'];118,00 €;warme-reiseziele;2020-08;05.10.2019;Europe;118,00 €
Faro;['12.08.2020', '26.08.2020'];118,00 €;sommerferien;2020-08;05.10.2019;Europe;118,00 €
Faro;['12.08.2020', '26.08.2020'];119,00 €;warme-reiseziele;2020-08;06.10.2019;Europe;118,00 €
Faro;['12.08.2020', '26.08.2020'];119,00 €;sommerferien;2020-08;06.10.2019;Europe;118,00 €
Faro;['12.08.2020', '26.08.2020'];119,00 €;warme-reiseziele;2020-08;07.10.2019;Europe;118,00 €
Faro;['12.08.2020', '26.08.2020'];119,00 €;sommerferien;2020-08;07.10.2019;Europe;118,00 €
Faro;['12.08.2020', '26.08.2020'];119,00 €;warme-reiseziele;2020-08;09.10.2019;Europe;118,00 €
Faro;['12.08.2020', '26.08.2020'];119,00 €;sommerferien;2020-08;09.10.2019;Europe;118,00 €
Fes;['20.10.2019', '23.10.2019'];11,00 €;kurzurlaub;2019-10;04.10.2019;Europe;11,00 €
Fes;['23.10.2019', '30.10.2019'];31,00 €;last-minute;2019-10;09.10.2019;Europe;11,00 €
Florenz;['13.12.2019', '15.12.2019'];75,00 €;kurzurlaub;2019-12;04.10.2019;Europe;75,00 €
Florenz;['13.10.2019', '16.10.2019'];92,00 €;last-minute;2019-10;04.10.2019;Europe;75,00 €
Florenz;['13.12.2019', '15.12.2019'];75,00 €;kurzurlaub;2019-12;05.10.2019;Europe;75,00 €
Florenz;['13.10.2019', '16.10.2019'];92,00 €;last-minute;2019-10;05.10.2019;Europe;75,00 €
Florenz;['28.11.2019', '29.11.2019'];75,00 €;kurzurlaub;2019-11;06.10.2019;Europe;75,00 €
Florenz;['13.12.2019', '15.12.2019'];75,00 €;staedtereisen;2019-12;07.10.2019;Europe;75,00 €
Florenz;['13.12.2019', '15.12.2019'];75,00 €;kurzurlaub;2019-12;07.10.2019;Europe;75,00 €
Florenz;['28.11.2019', '29.11.2019'];75,00 €;staedtereisen;2019-11;09.10.2019;Europe;75,00 €
Florenz;['28.11.2019', '29.11.2019'];75,00 €;kurzurlaub;2019-11;09.10.2019;Europe;75,00 €
Fort de France;['01.08.2020', '09.08.2020'];660,00 €;sommerferien;2020-08;04.10.2019;Karibik;660,00 €
Fort de France;['01.08.2020', '09.08.2020'];660,00 €;sommerferien;2020-08;05.10.2019;Karibik;660,00 €
Fort Myers;['05.11.2019', '13.11.2019'];317,00 €;fernreisen;2019-11;04.10.2019;USA;316,00 €
Fort Myers;['05.11.2019', '13.11.2019'];317,00 €;warme-reiseziele;2019-11;04.10.2019;USA;316,00 €
Fort Myers;['05.11.2019', '19.11.2019'];316,00 €;fernreisen;2019-11;05.10.2019;USA;316,00 €
Fort Myers;['05.11.2019', '19.11.2019'];316,00 €;warme-reiseziele;2019-11;05.10.2019;USA;316,00 €
Fort Myers;['05.11.2019', '13.11.2019'];316,00 €;fernreisen;2019-11;06.10.2019;USA;316,00 €
Fort Myers;['05.11.2019', '13.11.2019'];316,00 €;warme-reiseziele;2019-11;06.10.2019;USA;316,00 €
Fort Myers;['05.11.2019', '13.11.2019'];316,00 €;fernreisen;2019-11;07.10.2019;USA;316,00 €
Fort Myers;['05.11.2019', '13.11.2019'];316,00 €;warme-reiseziele;2019-11;07.10.2019;USA;316,00 €
Fort Myers;['05.11.2019', '19.11.2019'];316,00 €;fernreisen;2019-11;09.10.2019;USA;316,00 €
Fort Myers;['05.11.2019', '19.11.2019'];316,00 €;warme-reiseziele;2019-11;09.10.2019;USA;316,00 €
