,description,displaySymbol,symbol,source,Exch_name
197,PT Visi Media Asia Tbk,4VM.SG,4VM.SG,SG,BOERSE STUTTGART
198,CHR. HANSEN HOLDING (51C.SG),51C.SG,51C.SG,SG,BOERSE STUTTGART
199,Rambler Metals and Mining PLC,51R.SG,51R.SG,SG,BOERSE STUTTGART
200,ARCHROCK (54E.SG),54E.SG,54E.SG,SG,BOERSE STUTTGART
201,GOLDGRP MNG (55G.SG),55G.SG,55G.SG,SG,BOERSE STUTTGART
202,INTREPID POTASH (58I.SG),58I.SG,58I.SG,SG,BOERSE STUTTGART
203,UNI-PRESIDENT CHINA (58U.SG),58U.SG,58U.SG,SG,BOERSE STUTTGART
204,BCA POP. SONDRIO (593.SG),593.SG,593.SG,SG,BOERSE STUTTGART
205,SANDS CHINA 144A/S (599A.SG),599A.SG,599A.SG,SG,BOERSE STUTTGART
206,INDUS GAS (59Q.SG),59Q.SG,59Q.SG,SG,BOERSE STUTTGART
207,WIJAYA KARYA (5AA.SG),5AA.SG,5AA.SG,SG,BOERSE STUTTGART
208,PT Bank Bukopin Tbk,5BB.SG,5BB.SG,SG,BOERSE STUTTGART
209,B2GOLD (5BG.SG),5BG.SG,5BG.SG,SG,BOERSE STUTTGART
210,Crown Resorts Limited,5CW.SG,5CW.SG,SG,BOERSE STUTTGART
211,ENERGY RECOVERY (5E2.SG),5E2.SG,5E2.SG,SG,BOERSE STUTTGART
212,ELNUSA (5EL.SG),5EL.SG,5EL.SG,SG,BOERSE STUTTGART
213,FIRST RESOURCES (5F1.SG),5F1.SG,5F1.SG,SG,BOERSE STUTTGART
214,HD SUPPLY HLDGS (5HD.SG),5HD.SG,5HD.SG,SG,BOERSE STUTTGART
215,HENGYANG PETROCHEM (5HY.SG),5HY.SG,5HY.SG,SG,BOERSE STUTTGART
216,JUMBO  (5JB.SG),5JB.SG,5JB.SG,SG,BOERSE STUTTGART
217,MEDIA NUSANTARA CIT (5M2.SG),5M2.SG,5M2.SG,SG,BOERSE STUTTGART
218,Maxi-Cash Financial Services Corporation Ltd,5MX.SG,5MX.SG,SG,BOERSE STUTTGART
219,Ntegrator International Ltd,5NT.SG,5NT.SG,SG,BOERSE STUTTGART
220,FIVE PRIME THERAPEUTICS,5P8.SG,5P8.SG,SG,BOERSE STUTTGART
221,PT Resource Alam Indonesia Tbk,5RA.SG,5RA.SG,SG,BOERSE STUTTGART
222,SENTUL CITY -A- (5S4.SG),5S4.SG,5S4.SG,SG,BOERSE STUTTGART
223,COMPUTER MODELLING (5TJ.SG),5TJ.SG,5TJ.SG,SG,BOERSE STUTTGART
224,VODACOM GROUP (5VD.SG),5VD.SG,5VD.SG,SG,BOERSE STUTTGART
225,BOQI International Medical Inc,63NN.SG,63NN.SG,SG,BOERSE STUTTGART
226,BATERO GOLD (68B.SG),68B.SG,68B.SG,SG,BOERSE STUTTGART
227,GOLD STD VENTURES (6AZ.SG),6AZ.SG,6AZ.SG,SG,BOERSE STUTTGART
228,ROCKSHIELD CAPITAL (6BC.SG),6BC.SG,6BC.SG,SG,BOERSE STUTTGART
229,CHINA CORD BL (6CB.SG),6CB.SG,6CB.SG,SG,BOERSE STUTTGART
230,D.WESTERN (6DW.SG),6DW.SG,6DW.SG,SG,BOERSE STUTTGART
231,EMX Royalty Corporation,6E9.SG,6E9.SG,SG,BOERSE STUTTGART
232,James Fisher and Sons plc,6FJ.SG,6FJ.SG,SG,BOERSE STUTTGART
233,Horseshoe Metals Limited (6HS.S,6HS.SG,6HS.SG,SG,BOERSE STUTTGART
234,BANK HANDLOWY (6HW.SG),6HW.SG,6HW.SG,SG,BOERSE STUTTGART
235,IEV Holdings Limited,6IH.SG,6IH.SG,SG,BOERSE STUTTGART
236,Leader Environmental Technologies Limited,6LE.SG,6LE.SG,SG,BOERSE STUTTGART
237,MERCK (6MK.SG),6MK.SG,6MK.SG,SG,BOERSE STUTTGART
238,METALLURGICAL -H- (6MT.SG),6MT.SG,6MT.SG,SG,BOERSE STUTTGART
239,Musgrave Minerals Limited,6MU.SG,6MU.SG,SG,BOERSE STUTTGART
240,NEXGEN ENERGY,6NE.SG,6NE.SG,SG,BOERSE STUTTGART
241,PGE POL GR ENERG (6PG.SG),6PG.SG,6PG.SG,SG,BOERSE STUTTGART
242,PILGRIMS PRIDE (6PP.SG),6PP.SG,6PP.SG,SG,BOERSE STUTTGART
